tv	tele,television,tv,video,テレビ,映像
spheres	spheres,球体
spike	spike,スパイク
spikes	spikes
spin	spin,スピン
spinners	spinners
spinning	spinning,紡糸
spoke	spoke,スポーク
spokes	spokes,スポーク
sponge	sponge
spooling	spooling,スプール
spray	spray,スプレー
spring	spring,春
spurs	spurs
spy	spy
squash	squash,スカッシュ
squeak	squeak,きしむ
squeeze	squeeze,絞る
stabilizers	stabilizers,安定剤
stable	stable,安定した
stacking	stacking
stadium	stadium
staff	staff,スタッフ
staffs	staffs,スタッフ
stage	stage
stamping	stamping
stand	stand
standalone	standalone,スタンドアロン
standard	standard,標準
stands	stands,スタンド
staplers	staplers,ホッチキス
staples	staples,ステープル
star	star,星
starter	starter,スターター
statues	statues,彫像
stays	stays,滞在します
steaks	steaks,ステーキ
steamers	steamers,蒸し器
steel	steel,鋼鉄
steering	steering,操舵
steers	steers,操縦する
step	step,ステップ
stepping	stepping,ステッピング
steps	steps,ステップ
stereos	stereos,ステレオ
stew	stew,シチュー
stick	stick,スティック
sticker	sticker,ステッカー
stickers	stickers
sticks	sticks,スティック
stir	stir,かき混ぜる
stirrups	stirrups,あぶみ
stocks	stocks,株
stomp	stomp,踏みつける
stones	stones,石
stools	stools,便
stop	stop
stopwatches	stopwatches,ストップウォッチ
storage	storage,ストレージ
store	store,店
storytelling	storytelling,物語を語る
stove	stove,レンジ
stoves	stoves,ストーブ
strap	strap,ストラップ
straps	straps,ストラップ
strawberries	strawberries
streaming	streaming,ストリーミング
street	street,通り
strength	strength,強さ
stringed	stringed,弦付き
stringing	stringing,糸を張る
strip	strip
strippers	strippers,ストリッパー
strips	strips,ストリップ
strobe	strobe,ストロボ
strollers	strollers,ベビーカー
stubs	stubs,スタブ
stud	stud,スタッド
studio	studio
stuffed	stuffed,ぬいぐるみ
submarines	submarines,潜水艦
substitutes	substitutes,代替品
subwoofer	subwoofer,サブウーファー
subwoofers	subwoofers,サブウーファー
sudoku	sudoku
sugar	sugar,砂糖
suits	suits,スーツ
summer	summer,夏
sun	sun,太陽
suncatchers	suncatchers,サンキャッチャー
sunglasses	sunglasses,サングラス
supplements	supplements,サプリメント
supplies	supplies,用品
support	support,サポート
supports	supports,サポートします
surfboard	surfboard,サーフボード
surfboards	surfboards
surfing	surfing,サーフィン
surfwear	surfwear,サーフウェア
surveillance	surveillance,監視
survival	survival
sushi	sushi,寿司
suspenders	suspenders,サスペンダー
suspension	suspension,サスペンション
sweaters	sweaters,セーター,ニット
sweatshirts	sweatshirts,スウェットシャツ
sweets	sweets,お菓子
swimming	swimming,水泳
swimwear	swimwear
swing	swing,スイング
swings	swings,ブランコ
switch	switch,スイッチ
switches	switches,スイッチ
swivels	swivels,スイベル
swords	swords,剣
synthesizers	synthesizers,シンセサイザー
systems	systems,システム
tablas	tablas,タブラ
table	table,テーブル
tables	tables,テーブル
tablets	tablets,錠剤
tabs	tabs,タブ
tack	tack,タック
tackle	tackle,取り組む
tactical	tactical,戦術的な
taekwondo	taekwondo
tagines	tagines
tags	tags,タグ
tailgater	tailgater,あおり運転者
tailgating	tailgating,共連れ
taillight	taillight,テールライト
taillights	taillights,テールライト
talkies	talkies
talking	talking,話している
tambourines	tambourines
tandem	tandem,タンデム
tank	tank,タンク
tap	tap
tape	tape,テープ
tapes	tapes
tar	tar,タール
targets	targets,ターゲット
tarragon	tarragon,タラゴン
tarts	tarts,タルト
tater	tater,テイター
team	team,チーム
teasers	teasers,ティーザー
technology	technology,テクノロジー
tees	tees
teethers	teethers,おしゃぶり
telemark	telemark,テレマーク
telescope	telescope,望遠鏡
televisions	televisions,テレビ
telling	telling,伝える
tempeh	tempeh,テンペ
tenderloin	tenderloin,テンダーロイン
tenderloins	tenderloins,テンダーロイン
tenders	tenders,入札
tent	tent,テント
tents	tents,テント
terminal	terminal,ターミナル
terrarium	terrarium,テラリウム
terrariums	terrariums,テラリウム
terrestrial	terrestrial
terrines	terrines,テリーヌ
test	test,テスト
testers	testers,テスター
testing	testing,テスト
theater	theater,劇場
theaters	theaters
thermocoolers	thermocoolers,サーモクーラー
thermoses	thermoses
thickeners	thickeners,増粘剤
thigh	thigh,大腿
thighs	thighs,太もも
throw	throw
throws	throws
thumb	thumb,親指
thyme	thyme
tick	tick,カチカチ
ticket	ticket,チケット
tie	tie,ネクタイ
ties	ties,ネクタイ
tights	tights,タイツ
tile	tile,タイル
timbales	timbales,ティンバレス
timers	timers
timpanis	timpanis,ティンパニス
tip	tip
tippets	tippets,ティペット
tire	tire
tires	tires
to	to
toasters	toasters,トースター
toboggans	toboggans,トボガン
toddler	toddler,幼児
tofu	tofu,豆腐
toilet	toilet,トイレ
tom	tom
tomatoes	tomatoes,トマト
toms	toms,トム
tonfas	tonfas,トンファース
toning	toning,調子を整える
toothbrushes	toothbrushes,歯ブラシ
toppers	toppers,トッパー
toppings	toppings,トッピング
tops	tops,トップス
toss	toss,トス
tote	tote,トートバッグ
tots	tots,幼児
touring	touring,ツーリング
towel	towel
towels	towels,タオル
towers	towers,塔
towsports	towsports,トウスポーツ
track	track,追跡
trackers	trackers,トラッカー
tracks	tracks
traction	traction,トラクション
tractors	tractors,トラクター
trading	trading,トレーディング
traditional	traditional,伝統的
trailer	trailer,トレーラー
trailers	trailers,トレーラー
trainer	trainer,トレーナー
trainers	trainers,トレーナー
trains	trains,電車
trampolines	trampolines
trams	trams
transformers	transformers,変圧器
transition	transition,遷移
transmission	transmission,伝染 ; 感染
transport	transport,輸送
transportation	transportation,交通機関
trapper	trapper,罠師
traps	traps
travel	travel,旅行
trays	trays,トレイ
treadmill	treadmill,トレッドミル
treatment	treatment,処理
treatments	treatments,治療法
treats	treats,おやつ
tree	tree
trees	trees,木々
trekking	trekking,トレッキング
tri	tri,トライ
triangles	triangles,三角形
triathlon	triathlon,トライアスロン
trick	trick,トリック
tricycles	tricycles,三輪車
triggers	triggers,トリガー
trimmers	trimmers,トリマー
tripods	tripods,三脚
trombone	trombone,トロンボーン
trombones	trombones,トロンボーン
trophies	trophies,トロフィー
trophy	trophy,トロフィー
trucks	trucks,トラック
trumpet	trumpet
trumpets	trumpets,トランペット
trunk	trunk
tub	tub
tuba	tuba
tubas	tubas,チューバ
tubes	tubes,チューブ
tubs	tubs,浴槽
tumblers	tumblers,タンブラー
tuning	tuning,チューニング
tunnels	tunnels
turducken	turducken,ターダッケン
turkey	turkey,七面鳥
turkeys	turkeys,七面鳥
turntable	turntable,ターンテーブル
turntables	turntables,ターンテーブル
tvs	tvs,テレビ
tweezers	tweezers,ピンセット
tying	tying,結ぶ
type	type,タイプ
udu	udu,ウドゥ
ukuleles	ukuleles,ウクレレ
umbrellas	umbrellas,傘
umpire	umpire,審判
underwear	underwear,下着
unicycles	unicycles
uniforms	uniforms,制服
units	units,単位
unpowered	unpowered,電源が入っていない
up	up,上
upgrades	upgrades,アップグレード
ups	ups
used	used,使用済み
utilities	utilities,公共事業
utility	utility,ユーティリティ
vacuums	vacuums
valances	valances
valve	valve,バルブ
valves	valves,バルブ
vane	vane,羽根
vanities	vanities
vcrs	vcrs
veal	veal,子牛肉
vegetable	vegetable,野菜
vegetables	vegetables,野菜
vegetarian	vegetarian
vehicle	vehicle,車両
vehicles	vehicles,車両
veils	veils,ベール
vests	vests,ベスト
vhs	vhs,ビデオ
vibration	vibration,振動
viewfinders	viewfinders,ビューファインダー
virtual	virtual
vision	vision,ビジョン
visors	visors,バイザー
vitamins	vitamins,ビタミン
volleyball	volleyball,バレーボール
volleyballs	volleyballs,バレーボール
wader	wader,ウェーダー
waders	waders,ウェーダー
wafers	wafers,ウエハース
wagons	wagons,ワゴン
waist	waist,ウエスト
walkie	walkie
wall	wall
wallets	wallets
wallpaper	wallpaper,壁紙
wands	wands,ワンド
warmers	warmers,ウォーマー
wasabi	wasabi,わさび
washboards	washboards,洗濯板
washers	washers
waste	waste,無駄
waterskiing	waterskiing,水上スキー
wax	wax,ワックス
weapon	weapon,武器
weapons	weapons,兵器
wear	wear,着る
wearable	wearable,ウェアラブル
weather	weather
web	web,ウェブ
webbing	webbing,ウェビング
wedges	wedges
weight	weight,重さ
weighted	weighted,重み付けされた
weights	weights,重み
weld	weld
welding	welding
wellness	wellness,ウェルネス
western	western,西洋の
wet	wet,濡れた
wetsuits	wetsuits,ウェットスーツ
wheel	wheel,車輪
wheels	wheels,車輪
whips	whips
whistles	whistles
white	white,白
whole	whole,全体
wigs	wigs,かつら
wild	wild,野生
winches	winches,ウインチ
wind	wind,風
winders	winders
windshield	windshield,フロントガラス
windshields	windshields,フロントガラス
windsurfing	windsurfing,ウィンドサーフィン
winemaking	winemaking,ワイン造り
wing	wing
wings	wings,翼
winter	winter,冬
wood	wood,木材
woods	woods
work	work,仕事
workout	workout,いい結果
world	world,世界
wraparound	wraparound,ラップアラウンド
wrapping	wrapping,ラッピング
wraps	wraps,ラップする
wrenches	wrenches
wrestling	wrestling,レスリング
wrist	wrist,手首
wristbands	wristbands,リストバンド
writing	writing,書き込み
xbox	xbox
xylophones	xylophones,木琴
yams	yams,山芋
yard	yard,ヤード
yo	yo,よー
yoga	yoga,ヨガ
yos	yos,よーし
youth	youth,若者
zander	zander,ザンダー
12v	12v
2ds	2ds
3ds	3ds
3v	3v
5e	5e
6v	6v
7v	7v
9v	9v
aa	aa,ああ
aaa	aaa,ああ
aaaa	aaaa,ああああ
abacuses	abacuses,そろばん
abalone	abalone,アワビ
abayas	abayas,アバヤ
abdominal	abdominal,腹部
abrasives	abrasives,研磨剤
absorbers	absorbers,吸収体
absorption	absorption,吸収
abutments	abutments,アバットメント
ac	ac,交流
accelerator	accelerator,アクセル
accelerators	accelerators,加速器
accents	accents,アクセント
account	account,アカウント
acetaminophen	acetaminophen,アセトアミノフェン
acetate	acetate,アセテート
acetyl	acetyl,アセチル
acid	acid,酸
acidophilus	acidophilus,アシドフィルス菌
acids	acids,酸
acorn	acorn,ドングリ
acoustical	acoustical,音響的な
acquisition	acquisition,買収
acrylic	acrylic,アクリル
acrylics	acrylics,アクリル
activated	activated,アクティブ化された
activewear	activewear,アクティブウェア
activities	activities,活動
actuated	actuated,作動した
actuator	actuator,アクチュエータ
actuators	actuators,アクチュエータ
acupuncture	acupuncture,鍼治療
adapter	adapter,アダプター
adaptive	adaptive,適応的な
add	add,追加する
addition	addition,追加
additives	additives,添加物
address	address,住所
adhesive	adhesive,接着剤
adirondack	adirondack,アディロンダック
adjuncts	adjuncts,付属品
adjustable	adjustable,調整可能な
adjusters	adjusters,アジャスター
administration	administration,行政
adobo	adobo,アドボ
adrenal	adrenal,副腎
adults	adults,大人
advance	advance,前進
advent	advent,降臨
aeration	aeration,エアレーション
aerators	aerators,エアレーター
aerial	aerial,空中
aerosol	aerosol,エアロゾル
african	african,アフリカの
after	after,その後
aftercare	aftercare,アフターケア
agar	agar,寒天
agave	agave,リュウゼツラン
agents	agents,エージェント
agogo	agogo,アゴゴ
agricultural	agricultural,農業用
agriculture	agriculture,農業
aida	aida,アイーダ
airbrush	airbrush,エアブラシ
aircraft	aircraft,航空機
airflow	airflow,空気の流れ
airlocks	airlocks,エアロック
airplane	airplane,飛行機
airway	airway,気道
aisle	aisle,通路
ajowan	ajowan,アジョワン
alanine	alanine,アラニン
alarms	alarms,アラーム
album	album,アルバム
alcohols	alcohols,アルコール
alert	alert,警告
ales	ales,エール
alfalfa	alfalfa,アルファルファ
alfredo	alfredo,アルフレッド
algae	algae,藻類
algaecides	algaecides,殺藻剤
alginates	alginates,アルギン酸塩
aligning	aligning,整列する
alignment	alignment,アライメント
all	all,すべて
allen	allen,アレン
allergy	allergy,アレルギー
alleys	alleys,路地
allihn	allihn,アリン
allspice	allspice,オールスパイス
ally	ally,味方
almond	almond,アーモンド
almonds	almonds,アーモンド
alnico	alnico,アルニコ
aloe	aloe,アロエ
along	along,一緒に
alpha	alpha,アルファ
alternative	alternative,代替品
aluminum	aluminum,アルミニウム
amalgam	amalgam,アマルガム
amalgamators	amalgamators,合併者
amalgams	amalgams,アマルガム
ambrosia	ambrosia,アンブロシア
american	american,アメリカ人
amiga	amiga,アミーガ
amino	amino,アミノ
ammonia	ammonia,アンモニア
amnio	amnio,羊水
amplified	amplified,増幅された
amps	amps,アンプ
ampules	ampules,アンプル
anaheim	anaheim,アナハイム
anal	anal,アナル
analysis	analysis,分析
analytical	analytical,分析的
analyzer	analyzer,アナライザー
analyzers	analyzers,アナライザー
anarkali	anarkali,アナルカリ
anchoring	anchoring,アンカリング
anchovies	anchovies,アンチョビ
and	and,そして
andirons	andirons,アンディロン
andrographis	andrographis,アンドログラフィス
anemometers	anemometers,風速計
anesthesia	anesthesia,麻酔
anesthetic	anesthetic,麻酔薬
anesthetics	anesthetics,麻酔薬
angel	angel,天使
angelfood	angelfood,エンジェルフード
angle	angle,角度
angled	angled,斜めの
angles	angles,角度
angular	angular,角張った
animation	animation,アニメーション
anime	anime,アニメ
anise	anise,アニス
anjou	anjou,アンジュー
anmitsu	anmitsu,あんみつ
anniversary	anniversary,記念日
announcements	announcements,お知らせ
annular	annular,環状
anoraks	anoraks,アノラック
answering	answering,答える
antacids	antacids,制酸薬
antibiotics	antibiotics,抗生物質
antibodies	antibodies,抗体
antibody	antibody,抗体
antifungals	antifungals,抗真菌薬
antigens	antigens,抗原
antimicrobials	antimicrobials,抗菌剤
antioxidants	antioxidants,抗酸化物質
antipasto	antipasto,前菜
antiperspirant	antiperspirant,制汗剤
antiperspirants	antiperspirants,制汗剤
antiseptics	antiseptics,防腐剤
antistatic	antistatic,静電気防止
apex	apex,頂点
apparatus	apparatus,装置
appetite	appetite,食欲
appetizer	appetizer,前菜
applesauce	applesauce,アップルソース
application	application,アプリケーション
applicators	applicators,アプリケーター
appliqu	appliqu,アップリケ
applique	applique,アップリケ
appliques	appliques,アップリケ
approach	approach,アプローチ
approximators	approximators,近似器
apricot	apricot,アプリコット
apricots	apricots,アプリコット
apriums	apriums,アプリアム
aquariums	aquariums,水族館
aqueous	aqueous,水性
arborio	arborio,アルボリオ
arc	arc,円弧
arch	arch,アーチ
architecture	architecture,建築
archival	archival,アーカイブ
archwire	archwire,アーチワイヤー
arctic	arctic,北極
arena	arena,アリーナ
arginine	arginine,アルギニン
arjuna	arjuna,アルジュナ
armatures	armatures,アーマチュア
armbands	armbands,腕章
armboards	armboards,アームボード
armchair	armchair,肘掛け椅子
armchairs	armchairs,肘掛け椅子
armoires	armoires,戸棚
armrest	armrest,アームレスト
armrests	armrests,肘掛け
arms	arms,腕
aromatherapy	aromatherapy,アロマテラピー
aronia	aronia,アロニア
arranger	arranger,アレンジャー
arranging	arranging,アレンジする
arrays	arrays,配列
arrest	arrest,逮捕
arrestors	arrestors,逮捕者
arrowroot	arrowroot,クズウコン
arthritis	arthritis,関節炎
artichoke	artichoke,アーティチョーク
articulating	articulating,明瞭な
articulator	articulator,咬合器
articulators	articulators,咬合器官
artificial	artificial,人工的な
artist	artist,アーティスト
artistic	artistic,芸術的
artists	artists,アーティスト
arugula	arugula,ルッコラ
asafetida	asafetida,アサフェティダ
ascites	ascites,腹水
ashtrays	ashtrays,灰皿
ashwagandha	ashwagandha,アシュワガンダ
asiago	asiago,アジアーゴ
asian	asian,アジア人
asparagus	asparagus,アスパラガス
aspartame	aspartame,アスパルテーム
aspirating	aspirating,吸引する
aspirator	aspirator,吸引器
aspirators	aspirators,アスピレーター
aspirin	aspirin,アスピリン
assay	assay,アッセイ
assembly	assembly,アセンブリ
assistance	assistance,援助
assistant	assistant,アシスタント
assisting	assisting,援助する
assortment	assortment,品揃え
assortments	assortments,品揃え
astaxanthin	astaxanthin,アスタキサンチン
asthma	asthma,喘息
astragalus	astragalus,レンゲ
astringents	astringents,収斂剤
asymmetric	asymmetric,非対称
atas	atas,アタス
athletes	athletes,スポーツ選手
atlases	atlases,アトラス
attached	attached,付属の
attacher	attacher,アタッチャー
attacker	attacker,攻撃者
attendant	attendant,従者
attenuators	attenuators,減衰器
atv	atv
au	au
auger	auger,オーガー
aurora	aurora,オーロラ
autoclave	autoclave,オートクレーブ
autoclaves	autoclaves,オートクレーブ
autococker	autococker,オートコッカー
autoharp	autoharp,オートハープ
automatic	automatic,自動
automobile	automobile,自動車
automotive	automotive,自動車
autopilot	autopilot,自動操縦
autopilots	autopilots,自動操縦
autoradiography	autoradiography,オートラジオグラフィー
autosampler	autosampler,オートサンプラー
auxiliary	auxiliary,補助的な
av	av
avalanche	avalanche,雪崩
aviation	aviation,航空
avocado	avocado,アボカド
avocados	avocados,アボカド
award	award,賞を受賞
awl	awl,千枚通し
awnings	awnings,日よけ
axles	axles,車軸
ayurveda	ayurveda,アーユルヴェーダ
ayurvedic	ayurvedic,アーユルヴェーダ
b1	b1
b12	b12
b2	b2
b3	b3
b5	b5
b6	b6
b7	b7
b8	b8
b9	b9
backboard	backboard,バックボード
backboards	backboards,バックボード
backcountry	backcountry,バックカントリー
backed	backed,裏付けられた
background	background,背景
backgrounds	backgrounds,背景
backguards	backguards,後衛
backhoes	backhoes,バックホー
backing	backing,裏打ち
backpacking	backpacking,バックパッキング
backs	backs,背中
backstops	backstops,バックストップ
backup	backup,バックアップ
backyard	backyard,裏庭
bacopa	bacopa,バコパ
bacteriological	bacteriological,細菌学的
bael	bael,バエル
bagel	bagel,ベーグル
bagels	bagels,ベーグル
baggers	baggers,袋詰め業者
bagpipes	bagpipes,バグパイプ
bake	bake,焼く
baked	baked,焼きました
baker	baker,パン屋
bakers	bakers,パン屋
balancers	balancers,バランサー
balances	balances,バランス
balancing	balancing,バランスを取る
balcony	balcony,バルコニー
ballasts	ballasts,バラスト
ballers	ballers,ボーラー
balloon	balloon,風船
ballpoint	ballpoint,ボールペン
balms	balms,香油
balsamic	balsamic,バルサミコ
balusters	balusters,手すり子
bamboo	bamboo,竹
banana	banana,バナナ
bananas	bananas,バナナ
bandages	bandages,包帯
bandaging	bandaging,包帯を巻く
bands	bands,バンド
bangle	bangle,バングル
banjo	banjo,バンジョー
banking	banking,銀行業
banquet	banquet,宴会
bar	bar,バー
barbecue	barbecue,バーベキュー
barbed	barbed,とげのある
barbells	barbells,バーベル
barcode	barcode,バーコード
barebones	barebones,最低限の
bark	bark,樹皮を剥ぐ
barley	barley,大麦
barlow	barlow,バーロー
barn	barn,納屋
barns	barns,納屋
barometers	barometers,気圧計
barrel	barrel,バレル
barrier	barrier,バリア
barriers	barriers,障壁
bartlett	bartlett,バートレット
basal	basal,基礎的な
base	base,基地
baseman	baseman,ベースマン
basins	basins,盆地
basket	basket,バスケット
basmati	basmati,バスマティ
bassinet	bassinet,かご型ベッド
bassinets	bassinets,かご型ベッド
basters	basters,バスターズ
basting	basting,しつけ
bathtub	bathtub,バスタブ
bathtubs	bathtubs,浴槽
batten	batten,当て木
batter	batter,バッター
batters	batters,打者
bb	bb
bcaas	bcaas
bd	bd
beacons	beacons,ビーコン
bead	bead,ビーズ
beaded	beaded,ビーズ状の
beads	beads,ビーズ
beaker	beaker,ビーカー
beakers	beakers,ビーカー
beam	beam,ビーム
beams	beams,梁
bear	bear,クマ
beard	beard,ひげ
bearer	bearer,担ぎ手
bearings	bearings,ベアリング
bears	bears,クマ
beaters	beaters,ビーター
bedpans	bedpans,便器
bedside	bedside,ベッドサイド
bedspread	bedspread,ベッドカバー
bedspreads	bedspreads,ベッドカバー
bedstand	bedstand,ベッドスタンド
bedwetting	bedwetting,おねしょ
bee	bee,蜂
beefsteak	beefsteak,ビフステーキ
beekeeping	beekeeping,養蜂
beers	beers,ビール
beet	beet,ビート
beets	beets,ビーツ
behavior	behavior,行動
behind	behind,後ろに
belgian	belgian,ベルギー人
bell	bell,ベル
belleville	belleville,ベルビル
bellows	bellows,ふいご
belly	belly,腹
belonging	belonging,所属
bench	bench,ベンチ
benchtop	benchtop,ベンチトップ型
benders	benders,ベンダー
beneficial	beneficial,有益な
bento	bento,お弁当
berry	berry,ベリー
beta	beta,ベータ版
bevel	bevel,ベベル
beveled	beveled,面取りされた
bhasma	bhasma,バスマ
bias	bias,偏見
bib	bib,よだれかけ
bible	bible,聖書
bicarbonate	bicarbonate,重炭酸塩
bicep	bicep,上腕二頭筋
biconic	biconic,双円錐形
bidet	bidet,ビデ
bidets	bidets,ビデ
bifold	bifold,二つ折り
bifurcated	bifurcated,分岐した
big	big,大きい
bikini	bikini,ビキニ
bikinis	bikinis,ビキニ
bilberry	bilberry,ビルベリー
bilge	bilge,ビルジ
bill	bill,請求書
billiard	billiard,ビリヤード
biloba	biloba,ビロバ
binder	binder,バインダー
binders	binders,バインダー
binding	binding,バインディング
bing	bing,ビング
binocular	binocular,双眼鏡
binoculars	binoculars,双眼鏡
bins	bins,ゴミ箱
bioflavonoids	bioflavonoids,バイオフラボノイド
biohazard	biohazard,バイオハザード
biohazardous	biohazardous,バイオハザード
biological	biological,生物学的
biometric	biometric,生体認証
biometrics	biometrics,生体認証
biomolecules	biomolecules,生体分子
biotin	biotin,ビオチン
birdbath	birdbath,バードバス
birdbaths	birdbaths,バードバス
birdhouse	birdhouse,巣箱
birdhouses	birdhouses,巣箱
birding	birding,野鳥観察
birthday	birthday,誕生日
biscuit	biscuit,ビスケット
biscuits	biscuits,ビスケット
bison	bison,バイソン
bisques	bisques,ビスク
bistro	bistro,ビストロ
bit	bit,ビット
bitters	bitters,ビターズ
bjt	bjt,ビジット
bladder	bladder,膀胱
blade	blade,刃
blanket	blanket,毛布
blanks	blanks,ブランク
blast	blast,爆発
blaster	blaster,ブラスター
blasting	blasting,爆破
blazers	blazers,ブレザー
bleach	bleach,漂白剤
bleachers	bleachers,観覧席
bleaching	bleaching,漂白
blend	blend,ブレンド
blended	blended,ブレンドされた
blender	blender,ブレンダー
blenders	blenders,ブレンダー
blending	blending,ブレンドする
blends	blends,ブレンドする
blind	blind,盲目
blister	blister,水疱
block	block,ブロック
blockers	blockers,ブロッカー
blocking	blocking,ブロッキング
blood	blood,血
bloody	bloody,血まみれの
bloomers	bloomers,ブルマ
blotting	blotting,吸い取り
blow	blow,打撃
blu	blu,ブルー
blue	blue,青
blueprints	blueprints,青写真
bluetooth	bluetooth,ブルートゥース
bobbins	bobbins,ボビン
bocce	bocce,ボッチャ
bodhrans	bodhrans,ボドランズ
bodies	bodies,体
bodyformers	bodyformers,ボディフォーマー
bodystockings	bodystockings,ボディストッキング
bodysuits	bodysuits,ボディスーツ
boilers	boilers,ボイラー
boiling	boiling,沸騰する
bok	bok,ボク
bolo	bolo,ボロ
bologna	bologna,ボローニャ
bolt	bolt,ボルト
bolts	bolts,ボルト
bombards	bombards,砲撃する
bombs	bombs,爆弾
bond	bond,絆
bonding	bonding,結合
bongo	bongo,ボンゴ
boning	boning,骨抜き
bonito	bonito,カツオ
bonnets	bonnets,ボンネット
bonsai	bonsai,盆栽
book	book,books,本,書籍
bookbinding	bookbinding,製本
bookcases	bookcases,本棚
bookends	bookends,ブックエンド
booklet	booklet,小冊子
bookmarks	bookmarks,ブックマーク
bookshelf	bookshelf,本棚
boom	boom,ブーム
boomboxes	boomboxes,ラジカセ
boomerangs	boomerangs,ブーメラン
booster	booster,ブースター
boosters	boosters,ブースター
booths	booths,ブース
bootie	bootie,ブーツ
borders	borders,国境
bore	bore,ボア
borescopes	borescopes,ボアスコープ
boring	boring,退屈な
boswellia	boswellia,ボスウェリア
bottled	bottled,瓶詰めされた
bottletop	bottletop,ボトルトップ
bottling	bottling,瓶詰め
bottoms	bottoms,ボトムス
boubous	boubous,ふさふさした
bougies	bougies,ブジー
bouillon	bouillon,ブイヨン
bouncers	bouncers,用心棒
bouquets	bouquets,花束
bouzoukis	bouzoukis,ブズーキ
bowl	bowl,ボウル
boxcars	boxcars,有蓋車
boxer	boxer,ボクサー
boxers	boxers,ボクサー
boy	boy,男の子
bra	bra,ブラジャー
bracelet	bracelet,ブレスレット
bracket	bracket,ブラケット
brad	brad,ブラッド
brads	brads,ブラッド
braeburn	braeburn,ブレイバーン
braids	braids,三つ編み
braille	braille,点字
braisers	braisers,ブレイザー
brake	brake,ブレーキ
bran	bran,ふすま
bras	bras,ブラジャー
brayers	brayers,ブレイヤー
brazil	brazil,ブラジル
brazing	brazing,ろう付け
breadcrumbs	breadcrumbs,パンくずリスト
breaded	breaded,パン粉をまぶした
breaker	breaker,ブレーカー
breakers	breakers,ブレーカー
bream	bream,鯛
breastplates	breastplates,胸当て
breath	breath,息
breathalyzers	breathalyzers,飲酒検知器
breather	breather,息抜き
breathing	breathing,呼吸
breeches	breeches,ズボン
breeding	breeding,繁殖
brew	brew,醸造する
brewers	brewers,醸造家
bricks	bricks,レンガ
bridal	bridal,ブライダル
bridge	bridge,橋
brie	brie,ブリー
briefcases	briefcases,ブリーフケース
briefs	briefs,ブリーフ
bright	bright,明るい
brioche	brioche,ブリオッシュ
bristle	bristle,剛毛
bristol	bristol,ブリストル
brittle	brittle,脆い
broad	broad,広い
brochure	brochure,パンフレット
broilers	broilers,ブロイラー
bromelain	bromelain,ブロメライン
bromine	bromine,臭素
bronze	bronze,ブロンズ
broom	broom,ほうき
brooms	brooms,ほうき
broth	broth,スープ
brown	brown,茶色の
browns	browns,ブラウン
browsers	browsers,ブラウザ
bruschetta	bruschetta,ブルスケッタ
brush	brush,ブラシ
brussels	brussels,ブリュッセル
buchner	buchner,ブフナー
buckets	buckets,バケツ
buckthorn	buckthorn,クロウメモドキ
buckwheat	buckwheat,そば
budgeting	budgeting,予算編成
buffalo	buffalo,バッファロー
buffer	buffer,バッファ
buffered	buffered,バッファリングされた
buffet	buffet,ビュッフェ
buffets	buffets,ビュッフェ
buffing	buffing,バフ研磨
bug	bug,バグ
buildup	buildup,蓄積
built	built,建てられた
bulb	bulb,電球
bulk	bulk,バルク
bulkhead	bulkhead,隔壁
bullet	bullet,弾丸
bulletin	bulletin,速報
bullets	bullets,弾丸
bully	bully,いじめっ子
bundt	bundt,バント
bungee	bungee,バンジー
bunion	bunion,外反母趾
bunkie	bunkie,バンキー
bunsen	bunsen,ブンセン
buoyancy	buoyancy,浮力
bur	bur,バリ
burettes	burettes,ビュレット
burn	burn,燃やす
burner	burner,バーナー
burning	burning,燃えている
burnishers	burnishers,磨き屋
burqas	burqas,ブルカ
burr	burr,バリ
burritos	burritos,ブリトー
burs	burs,バリ
bus	bus,バス
bushed	bushed,茂った
bushing	bushing,ブッシング
bushings	bushings,ブッシング
bustiers	bustiers,ビスチェ
butane	butane,ブタン
butcher	butcher,肉屋
butterflies	butterflies,蝶
butterfly	butterfly,蝶
buttermilk	buttermilk,バターミルク
butternut	butternut,バターナッツ
butters	butters,バター
butterscotch	butterscotch,バタースコッチ
button	button,ボタン
butyl	butyl,ブチル
by	by,によって
cabasas	cabasas,カバサ
cabbage	cabbage,キャベツ
cabinet	cabinet,キャビネット
cabinetry	cabinetry,キャビネット
cabooses	cabooses,車掌車
cacti	cacti,サボテン
cad	cad
cadaver	cadaver,死体
caesar	caesar,シーザー
caf	caf,カフェ
caftans	caftans,カフタン
cajun	cajun,ケイジャン
calamus	calamus,カラムス
calcium	calcium,カルシウム
calculator	calculator,電卓
calendar	calendar,カレンダー
calibrators	calibrators,校正者
california	california,カリフォルニア
caliper	caliper,キャリパー
call	call,電話する
caller	caller,発信者
calligraphy	calligraphy,書道
callus	callus,カルス
calming	calming,落ち着く
calorimeters	calorimeters,熱量計
calzones	calzones,カルツォーネス
cam	cam,カム
cambogia	cambogia,カンボジア
camellia	camellia,椿
camembert	camembert,カマンベール
cameo	cameo,カメオ出演
camis	camis,キャミソール
camisoles	camisoles,キャミソール
campari	campari,カンパリ
camphor	camphor,樟脳
can	can,できる
candelabras	candelabras,燭台
candle	candle,キャンドル
candleholder	candleholder,キャンドルホルダー
candleholders	candleholders,キャンドルホルダー
candlesnuffers	candlesnuffers,ろうそく消し
candlestick	candlestick,燭台
